Country,Area,Co2,CPI,GDP,Population,Latitude,Longitude,continent,Life expectancy
Afghanistan,652230,8672,149.9,19101353833,38041754,33.94,67.71,Asia,64.5
Albania,28748,4536,119.05,15278077447,2854191,41.15,20.17,Europe,78.5
Algeria,2381741,150006,151.36,1.70E+11,43053054,28.03,1.66,Africa,76.7
Andorra,468,469,,3154057987,77142,42.51,1.52,Europe,
Angola,1246700,34693,261.73,94635415870,31825295,-11.2,17.87,Africa,60.8
Antigua and Barbuda,443,557,113.81,1727759259,97118,17.06,-61.8,North America,76.9
Argentina,2780400,201348,232.75,4.50E+11,44938712,-38.42,-63.62,South America,76.5
Armenia,29743,5156,129.18,13672802158,2957731,40.07,45.04,Asia,74.9
Australia,7741220,375908,119.8,1.39E+12,25766605,-25.27,133.78,Oceania,82.7
Austria,83871,61448,118.06,4.46E+11,8877067,47.52,14.55,Europe,81.6
Azerbaijan,86600,37620,156.32,39207000000,10023318,40.14,47.58,Asia,72.9
Bahamas,13880,1786,116.22,12827000000,389482,25.03,-77.4,North America,73.8
Bahrain,765,31694,117.59,38574069149,1501635,26.07,50.56,Asia,77.2
Bangladesh,148460,84246,179.68,3.03E+11,167310838,23.68,90.36,Asia,72.3
Barbados,430,1276,134.09,5209000000,287025,13.19,-59.54,North America,79.1
Belarus,207600,58280,,63080457023,9466856,53.71,27.95,Europe,74.2
Belgium,30528,96889,117.11,5.30E+11,11484055,50.5,4.47,Europe,81.6
Belize,22966,568,105.68,1879613600,390353,17.19,-88.5,North America,74.5
Benin,112622,6476,110.71,14390709095,11801151,9.31,2.32,Africa,61.5
Bhutan,38394,1261,167.18,2446674101,727145,27.51,90.43,Asia,71.5
Bolivia,1098581,21606,148.32,40895322865,11513100,-16.29,-63.59,South America,71.2
Bosnia and Herzegovina,51197,21848,104.9,20047848435,3301000,43.92,17.68,Europe,77.3
Botswana,581730,6340,149.75,18340510789,2346179,-22.33,24.68,Africa,69.3
Brazil,8515770,462299,167.4,1.84E+12,212559417,-14.24,-51.93,South America,75.7
Brunei,5765,7664,99.03,13469422941,433285,4.54,114.73,Asia,75.7
Bulgaria,110879,41708,114.42,86000000000,6975761,42.73,25.49,Europe,74.9
Burkina Faso,274200,3418,106.58,15745810235,20321378,12.24,-1.56,Africa,61.2
Burundi,27830,495,182.11,3012334882,11530580,-3.37,29.92,Africa,61.2
Cambodia,181035,9919,127.63,27089389787,16486542,12.57,104.99,Asia,69.6
Cameroon,475440,8291,118.65,38760467033,25876380,7.37,12.35,Africa,58.9
Canada,9984670,544894,116.76,1.74E+12,36991981,56.13,-106.35,North America,81.9
Cape Verde,4033,543,110.5,1981845741,483628,16.54,-23.04,Africa,72.8
Central African Republic,622984,297,186.86,2220307369,4745185,6.61,20.94,Africa,52.8
Chad,1284000,1016,117.7,11314951343,15946876,15.45,18.73,Africa,54
Chile,756096,85822,131.91,2.82E+11,18952038,-35.68,-71.54,South America,80
China,9596960,9893038,125.08,1.99E+13,1397715000,35.86,104.2,Asia,77
Colombia,1138910,97814,140.95,3.24E+11,50339443,4.57,-74.3,South America,77.1
Comoros,2235,202,103.62,1185728677,850886,-11.65,43.33,Africa,64.1
Congo,342000,3282,124.74,10820591131,5380508,-0.23,15.83,Africa,64.3
Costa Rica,51100,8023,128.85,61773944174,5047561,9.75,-83.75,North America,80.1
Croatia,56594,17488,109.82,60415553039,4067500,45.1,15.2,Europe,78.1
Cuba,110860,28284,,1.00E+11,11333483,21.52,-77.78,North America,78.7
Cyprus,9251,6626,102.51,24564647935,1198575,35.13,33.43,Europe,80.8
Czech Republic,78867,102218,116.48,2.46E+11,10669709,49.82,15.47,Europe,79
Democratic Republic of the Congo,2344858,2021,133.85,47319624204,86790567,-4.04,21.76,Africa,60.4
Denmark,43094,31786,110.35,3.48E+11,5818553,56.26,9.5,Europe,81
Djibouti,23200,620,120.25,3318716359,973560,11.83,42.59,Africa,66.6
Dominica,751,180,103.87,596033333,71808,15.41,-61.37,North America,76.6
Dominican Republic,48670,25258,135.5,88941298258,10738958,18.74,-70.16,North America,73.9
East Timor,14874,495,145.38,1673540300,3500000,-8.87,125.73,Asia,69.3
Ecuador,283561,41155,124.14,1.07E+11,17373662,-1.83,-78.18,South America,76.8
Egypt,1001450,238560,288.57,3.03E+11,100388073,26.82,30.8,Africa,71.8
El Salvador,21041,7169,111.23,27022640000,6453553,13.79,-88.9,North America,73.1
Equatorial Guinea,28051,5655,124.35,11026774945,1355986,1.65,10.27,Africa,58.4
Eritrea,117600,711,,2065001626,6333135,15.18,39.78,Africa,65.9
Estonia,45228,16590,122.14,31386949981,1331824,58.6,25.01,Europe,78.2
Ethiopia,1104300,14870,143.86,96107662398,112078730,9.15,40.49,Africa,66.2
Federated States of Micronesia,702,143,112.1,401932279,113815,7.43,150.55,South America,67.8
Fiji,18274,2046,132.3,5535548972,889953,-17.71,178.07,Oceania,67.3
Finland,338145,45871,112.33,2.69E+11,5520314,61.92,25.75,Europe,81.7
France,643801,303276,110.05,2.72E+12,67059887,46.23,2.21,Europe,82.5
Gabon,267667,5321,122.19,16657960228,2172579,-0.8,11.61,Africa,66.2
Gambia,11300,532,172.73,1763819048,2347706,13.44,-15.31,Africa,61.7
Georgia,69700,10128,133.61,17743195770,3720382,42.32,43.36,Asia,73.6
Germany,357022,727973,112.85,3.85E+12,83132799,51.17,10.45,Europe,80.9
Ghana,238533,16670,268.36,66983634224,30792608,7.95,-1.02,Africa,63.8
Greece,131957,62434,101.87,2.10E+11,10716322,39.07,21.82,Europe,81.3
Grenada,349,268,107.43,1228170370,112003,12.12,-61.68,North America,72.4
Guatemala,108889,16777,142.92,76710385880,16604026,15.78,-90.23,North America,74.1
Guinea,245857,2996,262.95,13590281809,12771246,9.95,-9.7,Africa,61.2
Guinea-Bissau,36125,293,111.65,1340389411,1920922,11.8,-15.18,Africa,58
Guyana,214969,2384,116.19,4280443645,782766,4.86,-58.93,South America,69.8
Haiti,27750,2978,179.29,8498981821,11263077,18.97,-72.29,North America,63.7
Honduras,112090,9813,150.34,25095395475,9746117,15.2,-86.24,North America,75.1
Hungary,93028,45537,121.64,1.61E+11,9769949,47.16,19.5,Europe,75.8
Iceland,103000,2065,129,24188035739,361313,64.96,-19.02,Europe,82.7
India,3287263,2407672,180.44,2.61E+12,1366417754,20.59,78.96,Asia,69.4
Indonesia,1904569,563325,151.18,1.12E+12,270203917,-0.79,113.92,Asia,71.5
Iran,1648195,661710,550.93,4.45E+11,82913906,32.43,53.69,Asia,76.5
Iraq,438317,190061,119.86,2.34E+11,39309783,33.22,43.68,Asia,70.5
Ireland,70273,37711,106.58,3.89E+11,5007069,53.41,-8.24,Europe,82.3
Israel,20770,65166,108.15,3.95E+11,9053300,31.05,34.85,Asia,82.8
Italy,301340,320411,110.62,2.00E+12,60297396,41.87,12.57,Europe,82.9
Ivory Coast,322463,9674,111.61,58792205642,25716544,7.54,-5.55,Africa,57.4
Jamaica,10991,8225,162.47,16458071068,2948279,18.11,-77.3,North America,74.4
Japan,377944,1135886,105.48,5.08E+12,126226568,36.2,138.25,Asia,84.2
Jordan,89342,25108,125.6,43743661972,10101694,30.59,36.24,Asia,74.4
Kazakhstan,2724900,247207,182.75,1.80E+11,18513930,48.02,66.92,Asia,73.2
Kenya,580367,17910,180.51,95503088538,52573973,-0.02,37.91,Africa,66.3
Kiribati,811,66,99.55,194647202,117606,1.84,-157.38,Oceania,68.1
Kuwait,17818,98734,126.6,1.35E+11,4207083,29.31,47.48,Asia,75.4
Kyrgyzstan,199951,9787,155.68,8454619608,6456900,41.2,74.77,Asia,71.4
Laos,236800,17763,135.87,18173839128,7169455,19.86,102.5,Asia,67.6
Latvia,64589,7004,116.86,34117202555,1912789,56.88,24.6,Europe,74.7
Lebanon,10400,24796,130.02,53367042272,6855713,33.85,35.86,Asia,78.9
Lesotho,30355,2512,155.86,2460072444,2125268,-29.61,28.23,Africa,53.7
Liberia,111369,1386,223.13,3070518100,4937374,6.43,-9.43,Africa,63.7
Libya,1759540,50564,125.71,52076250948,6777452,26.34,17.23,Africa,72.7
Liechtenstein,160,51,,6552858739,38019,47.14,9.52,Europe,83
Lithuania,65300,12963,118.38,54219315600,2786844,55.17,23.88,Europe,75.7
Luxembourg,2586,8988,115.09,71104919108,645397,49.82,6.13,Europe,82.1
Madagascar,587041,3905,184.33,14083906357,26969307,-18.77,46.87,Africa,66.7
Malawi,118484,1298,418.34,7666704427,18628747,-13.25,34.3,Africa,63.8
Malaysia,329847,248289,121.46,3.65E+11,32447385,4.21,101.98,Asia,76
Maldives,298,1445,99.7,5729248472,530953,3.2,73.22,Asia,78.6
Mali,1240192,3179,108.73,17510141171,19658031,17.57,-4,Africa,58.9
Malta,316,1342,113.45,14786156563,502653,35.94,14.38,Europe,82.3
Marshall Islands,181,143,,221278000,58791,7.13,171.18,Oceania,65.2
Mauritania,1030700,2739,135.02,7593752450,4525696,21.01,-10.94,Africa,64.7
Mauritius,2040,4349,129.91,14180444557,1265711,-20.35,57.55,Africa,74.4
Mexico,1964375,486406,141.54,1.26E+12,126014024,23.63,-102.55,North America,75
Moldova,33851,5115,166.2,11955435457,2657637,47.41,28.37,Europe,71.8
Mongolia,1564116,25368,195.76,13852850259,3225167,46.86,103.85,Asia,69.7
Montenegro,13812,2017,116.32,5494736901,622137,42.71,19.37,Europe,76.8
Morocco,446550,61276,111.07,1.19E+11,36910560,31.79,-7.09,Africa,76.5
Mozambique,799380,7943,182.31,14934159926,30366036,-18.67,35.53,Africa,60.2
Myanmar,676578,25280,168.18,76085852617,54045420,21.92,95.96,Asia,66.9
Namibia,824292,4228,157.97,12366527719,2494530,-22.96,18.49,Africa,63.4
Nepal,147181,9105,188.73,30641380604,28608710,28.39,84.12,Asia,70.5
Netherlands,41543,170780,115.91,9.09E+11,17332850,52.13,5.29,Europe,81.8
New Zealand,268838,34382,114.24,2.07E+11,4841000,-40.9,174.89,Oceania,81.9
Nicaragua,130370,5592,162.74,12520915291,6545502,12.87,-85.21,North America,74.3
Niger,1267000,2017,109.32,12928145120,23310715,17.61,8.08,Africa,62
Nigeria,923768,120369,267.51,4.48E+11,200963599,9.08,8.68,Africa,54.3
North Korea,120538,"28,284",114.15,32100000000.00,25666161,40.339852,127.510093,Asia,72.1
Norway,323802,41023,120.27,4.03E+11,5347896,60.47,8.47,Europe,82.8
Oman,309500,63457,113.53,76983094928,5266535,21.47,55.98,Asia,77.6
Pakistan,796095,201150,182.32,3.04E+11,216565318,30.38,69.35,Asia,67.1
Palau,459,224,118.17,283994900,18233,7.51,134.58,Oceania,69.1
Panama,75420,10715,122.07,66800800000,4246439,8.54,-80.78,North America,78.3
